size,run,sequential_time,parallel_time,builtin_time
300000,11,0.057159,0.576594,0.060019
300000,12,0.039116,0.338444,0.041926
300000,13,0.038147,0.361845,0.039901
300000,14,0.039181,0.456668,0.060705
300000,15,0.059098,0.528045,0.05991
300000,16,0.058774,0.588327,0.059715
300000,17,0.059272,0.600161,0.059303
300000,18,0.05697,0.490634,0.037861
300000,19,0.038116,0.35882,0.03869
300000,20,0.042247,0.35808,0.06033
400000,1,0.082896,0.564456,0.083572
400000,2,0.085698,0.389947,0.053265
400000,3,0.050613,0.360297,0.051307
400000,4,0.050356,0.360689,0.053935
400000,5,0.050291,0.357042,0.051184
400000,6,0.050636,0.486609,0.077329
400000,7,0.086159,0.628239,0.079301
400000,8,0.08659,0.545367,0.083614
400000,9,0.060321,0.318959,0.052108
400000,10,0.052446,0.30865,0.052685
400000,11,0.050307,0.538587,0.079617
400000,12,0.087718,0.494174,0.053555
400000,13,0.052258,0.35321,0.053572
400000,14,0.053199,0.409176,0.082193
400000,15,0.083255,0.579956,0.087258
400000,16,0.060269,0.370107,0.052616
400000,17,0.051753,0.366225,0.054859
400000,18,0.060116,0.498572,0.083804
400000,19,0.086631,0.588627,0.07601
400000,20,0.081629,0.642783,0.080563
500000,1,0.093764,0.480048,0.098556
500000,2,0.107112,0.343313,0.066377
500000,3,0.066123,0.421846,0.067679
500000,4,0.097786,0.590822,0.099712
500000,5,0.098068,0.436433,0.066102
500000,6,0.065973,0.385907,0.078364
500000,7,0.089562,0.374008,0.067164
500000,8,0.071174,0.370765,0.079035
500000,9,0.107374,0.588635,0.100465
500000,10,0.09561,0.634743,0.100134
500000,11,0.10832,0.420603,0.066196
500000,12,0.065817,0.355746,0.066109
500000,13,0.068799,0.565126,0.104459
500000,14,0.099371,0.465868,0.066547
500000,15,0.06617,0.31492,0.065605
500000,16,0.064401,0.474831,0.10038
500000,17,0.106515,0.589731,0.066547
500000,18,0.063371,0.355868,0.066489
500000,19,0.06414,0.357345,0.096668
500000,20,0.096973,0.594221,0.107167
600000,1,0.128563,0.593903,0.126965
600000,2,0.134469,0.632841,0.125372
600000,3,0.126224,0.400927,0.077719
600000,4,0.082361,0.360999,0.081265
600000,5,0.099873,0.940912,0.078876
600000,6,0.080988,0.374525,0.081493
600000,7,0.07776,0.39835,0.078826
600000,8,0.078497,0.388339,0.084167
600000,9,0.082648,0.570413,0.128543
600000,10,0.122591,0.657827,0.122941
600000,11,0.121728,0.52214,0.082351
600000,12,0.076769,0.443949,0.079901
600000,13,0.079425,0.605894,0.120299
600000,14,0.117012,0.39273,0.079287
600000,15,0.084404,0.296956,0.080405
600000,16,0.083043,0.569731,0.121602
600000,17,0.127504,0.475785,0.078725
600000,18,0.08128,0.390326,0.083102
600000,19,0.080034,0.632339,0.12798
600000,20,0.130806,0.586656,0.127045
700000,1,0.155491,0.665482,0.14427
700000,2,0.14021,0.461577,0.094249
700000,3,0.096226,0.33959,0.096704
700000,4,0.089704,0.648831,0.139374
700000,5,0.158501,0.40011,0.094369
700000,6,0.090451,0.392785,0.092549
700000,7,0.139814,0.388005,0.095287
700000,8,0.095666,0.49188,0.165793
700000,9,0.140775,0.649845,0.142074
700000,10,0.145106,0.540471,0.100445
700000,11,0.091031,0.340319,0.092147
700000,12,0.092976,0.555934,0.152074
700000,13,0.151417,0.490106,0.096622
700000,14,0.092585,0.358869,0.097672
700000,15,0.129878,0.588798,0.147732
700000,16,0.154054,0.440006,0.09546
700000,17,0.093698,0.315542,0.146605
700000,18,0.142952,0.591112,0.147976
700000,19,0.154982,0.627844,0.145763
700000,20,0.142641,0.638173,0.147572
800000,1,0.107074,0.423255,0.108965
800000,2,0.108384,0.529202,0.173283
800000,3,0.155493,0.511592,0.107513
800000,4,0.110363,0.353433,0.111679
800000,5,0.103388,0.408786,0.110357
800000,6,0.114003,0.4567,0.176024
800000,7,0.167451,0.624714,0.164351
800000,8,0.168615,0.592648,0.107004
800000,9,0.106258,0.38461,0.105507
800000,10,0.103394,0.6676,0.164334
800000,11,0.18237,0.391024,0.112056
800000,12,0.103462,0.375283,0.158962
800000,13,0.175255,0.589302,0.130512
800000,14,0.110805,0.336621,0.116071
800000,15,0.110986,0.489218,0.169627
800000,16,0.169546,0.646867,0.174977
800000,17,0.181804,0.701502,0.166181
800000,18,0.189244,0.464325,0.109364
800000,19,0.115215,0.366144,0.111806
800000,20,0.182751,0.636461,0.176261
900000,1,0.122009,0.424895,0.1239
900000,2,0.124137,0.364811,0.124035
900000,3,0.122319,0.381362,0.120271
900000,4,0.191026,0.750062,0.194057
900000,5,0.194981,0.639965,0.124706
900000,6,0.125768,0.404516,0.126795
900000,7,0.129045,0.684529,0.189912
900000,8,0.172017,0.795695,0.125011
900000,9,0.104805,0.557934,0.18875
900000,10,0.184846,0.664993,0.188773
900000,11,0.194938,0.695784,0.165396
900000,12,0.122404,0.389684,0.12312
900000,13,0.118215,0.564005,0.187429
900000,14,0.212261,0.453375,0.123613
900000,15,0.128148,0.464611,0.194356
900000,16,0.20435,0.604469,0.125413
900000,17,0.129435,0.413109,0.127892
900000,18,0.148659,0.629382,0.199444
900000,19,0.143457,0.408944,0.124966
900000,20,0.125902,0.51374,0.203657
1000000,1,0.233758,0.482057,0.137094
1000000,2,0.133512,0.3964,0.173312
1000000,3,0.237883,0.661651,0.139075
1000000,4,0.130601,0.374747,0.136997
1000000,5,0.155207,0.644268,0.220108
1000000,6,0.217205,0.608532,0.225201
1000000,7,0.206769,0.671853,0.165335
1000000,8,0.1355,0.430307,0.150487
1000000,9,0.134039,0.42272,0.138547
1000000,10,0.139298,0.394659,0.137631
1000000,11,0.134772,0.428235,0.14062
1000000,12,0.206761,0.839243,0.208971
1000000,13,0.238425,0.675321,0.24477
1000000,14,0.225761,0.49747,0.139237
1000000,15,0.138909,0.422146,0.136199
1000000,16,0.139567,0.373427,0.142105
1000000,17,0.132759,0.392806,0.138487
1000000,18,0.138095,0.532203,0.214164
1000000,19,0.205412,0.704906,0.209995
1000000,20,0.213497,0.668914,0.210133
