size,run,sequential_time,parallel_time,builtin_time
1200000,19,0.196745,0.223686,0.188294
1200000,20,0.195372,0.23279,0.173258
1200000,21,0.198941,0.230462,0.184358
1200000,22,0.198471,0.239921,0.183773
1200000,23,0.195031,0.238611,0.184513
1200000,24,0.195443,0.23444,0.174512
1200000,25,0.195683,0.232509,0.176886
1200000,26,0.196311,0.231416,0.17317
1200000,27,0.195779,0.238108,0.187818
1200000,28,0.198583,0.230857,0.174482
1200000,29,0.199842,0.229464,0.183203
1200000,30,0.199139,0.23914,0.187025
1300000,1,0.216793,0.255262,0.189539
1300000,2,0.217301,0.262946,0.211926
1300000,3,0.217337,0.258786,0.200816
1300000,4,0.215825,0.250192,0.189281
1300000,5,0.210323,0.244672,0.199457
1300000,6,0.211495,0.246078,0.205708
1300000,7,0.217022,0.248131,0.206484
1300000,8,0.209629,0.242095,0.205226
1300000,9,0.215018,0.243984,0.197957
1300000,10,0.21471,0.252267,0.191426
1300000,11,0.213566,0.252901,0.203927
1300000,12,0.214611,0.255101,0.188844
1300000,13,0.214834,0.2581,0.211875
1300000,14,0.217731,0.247164,0.189217
1300000,15,0.211145,0.25636,0.210262
1300000,16,0.210817,0.259476,0.188716
1300000,17,0.215592,0.243871,0.199995
1300000,18,0.214563,0.244636,0.200223
1300000,19,0.214731,0.239347,0.207843
1300000,20,0.213875,0.247962,0.213637
1300000,21,0.211535,0.254528,0.18916
1300000,22,0.21618,0.247882,0.209917
1300000,23,0.21623,0.252027,0.207306
1300000,24,0.212142,0.245513,0.21197
1300000,25,0.213166,0.242168,0.209306
1300000,26,0.213371,0.249542,0.204804
1300000,27,0.21495,0.248941,0.198285
1300000,28,0.212757,0.259106,0.199278
1300000,29,0.213418,0.258227,0.191152
1300000,30,0.212952,0.253464,0.206272
1400000,1,0.233891,0.266953,0.217018
1400000,2,0.231603,0.274325,0.229294
1400000,3,0.231933,0.277272,0.206328
1400000,4,0.243291,0.263767,0.236234
1400000,5,0.228225,0.263246,0.235728
1400000,6,0.235004,0.271662,0.207428
1400000,7,0.234271,0.261875,0.218072
1400000,8,0.231716,0.269189,0.218987
1400000,9,0.232875,0.279039,0.222339
1400000,10,0.231005,0.27446,0.228721
1400000,11,0.234874,0.268626,0.22094
1400000,12,0.233719,0.263702,0.223229
1400000,13,0.223823,0.269108,0.204933
1400000,14,0.234194,0.265883,0.214789
1400000,15,0.237978,0.274799,0.208793
1400000,16,0.237505,0.274323,0.20653
1400000,17,0.236236,0.272925,0.222566
1400000,18,0.230132,0.268077,0.204284
